"Age","Total","Visual","Auditory","Touch","smellTaste","Movement","multiSensory","Gender","Country","Smell","Region"
"20-35",-2,1,-2,-1,-1,-1,2,"Male","South Africa",1,"southAfrica"
"50+",-19,-2,-7,-3,-5,0,-2,"Male","South Africa",-2,"southAfrica"
"35-50",-11,-5,-4,-4,0,1,1,"Female","South Africa",0,"southAfrica"
"35-50",1,-4,-1,6,0,0,0,"Female","South Africa",-3,"southAfrica"
"35-50",-15,-2,-6,0,-1,-1,-5,"Male","South Africa",0,"southAfrica"
"50+",-16,-3,-3,-7,0,-2,-1,"Male","South Africa",-2,"southAfrica"
"35-50",-25,-4,-9,-5,-2,-1,-4,"Female","South Africa",-2,"southAfrica"
"20-35",-11,0,-3,-4,-1,-1,-2,"Female","South Africa",-1,"southAfrica"
NA,-13,-3,-4,-2,-3,-3,2,"Female","United States",0,"northAmerica"
"35-50",-1,-2,-4,2,1,0,2,"Female","South Africa",1,"southAfrica"
"35-50",-9,-3,-5,3,-1,0,-3,"Female","South Africa",-2,"southAfrica"
"<20",-29,-5,-6,-3,-3,-5,-7,"Female","South Africa",-3,"southAfrica"
"20-35",-7,-2,-2,1,-4,-1,1,"Male","South Africa",1,"southAfrica"
"50+",-13,2,-9,-1,-5,-4,4,"Female","South Africa",-4,"southAfrica"
"50+",-14,-5,-7,1,4,-2,-5,"Female","South Africa",2,"southAfrica"
"20-35",13,1,-3,7,3,2,3,"Female","South Africa",2,"southAfrica"
"35-50",29,6,5,2,3,4,9,"Male","South Africa",1,"southAfrica"
"20-35",-3,-1,-5,-3,2,3,1,"Female","South Africa",0,"southAfrica"
"20-35",-19,-3,-3,-7,0,-1,-5,"Female","South Africa",-1,"southAfrica"
NA,9,3,0,0,3,0,3,"Male","South Africa",3,"southAfrica"
"35-50",-20,-4,-6,1,-5,-3,-3,"Female","South Africa",-4,"southAfrica"
"35-50",11,4,4,-1,-1,3,2,"Male","South Africa",-1,"southAfrica"
"50+",-1,-2,-2,-1,3,0,1,"Female","South Africa",2,"southAfrica"
"20-35",-8,-1,-6,2,2,-3,-2,"Female","United Kingdom",1,"UKireland"
NA,4,-1,-1,4,-1,2,1,"Male","United Kingdom",0,"UKireland"
"20-35",-17,0,-1,-5,-5,-5,-1,"Female","Australia",-1,"AustrNZ"
"35-50",-6,-1,0,4,-7,-3,1,"Female","South Africa",-3,"southAfrica"
"35-50",17,2,0,7,3,2,3,"Female","United Kingdom",1,"UKireland"
"50+",-8,-2,-2,-6,1,-2,3,"Female","South Africa",0,"southAfrica"
"35-50",5,-1,2,1,-3,1,5,"Male","United States",0,"northAmerica"
"<20",-16,-5,-6,4,-3,-2,-4,"Male","South Africa",-2,"southAfrica"
"50+",-11,-5,-5,3,2,-2,-4,"Male","South Africa",0,"southAfrica"
"35-50",0,-2,5,0,-4,-2,3,"Female","South Africa",-4,"southAfrica"
"<20",9,0,2,5,-1,-3,6,"Female","South Africa",2,"southAfrica"
"50+",20,0,4,3,5,2,6,"Female","South Africa",4,"southAfrica"
"35-50",-20,0,-7,1,0,-5,-9,"Female","South Africa",0,"southAfrica"
"<20",-40,-8,-7,-6,-7,-4,-8,"Female","South Africa",-3,"southAfrica"
"20-35",-12,0,-4,1,1,-7,-3,"Female","South Africa",1,"southAfrica"
"<20",19,3,-2,5,4,3,6,"Male","South Africa",3,"southAfrica"
"<20",-31,-5,-6,-7,-5,-4,-4,"Male","South Africa",-3,"southAfrica"
"35-50",6,2,5,2,-2,-1,0,"Female","South Africa",-1,"southAfrica"
"20-35",13,3,5,6,-2,0,1,"Female","South Africa",-1,"southAfrica"
"35-50",-12,-4,-7,3,2,-2,-4,"Male","South Africa",0,"southAfrica"
NA,2,-3,1,0,0,3,1,"Female","South Africa",-1,"southAfrica"
"<20",-17,-5,-4,-4,-2,1,-3,"Female","South Africa",0,"southAfrica"
"35-50",-12,-4,-1,2,0,-5,-4,"Female","United States",-2,"northAmerica"
"<20",-21,-5,-1,-4,-1,-5,-5,"Female","South Africa",-1,"southAfrica"
"20-35",18,4,4,5,0,2,3,"Male","South Africa",-2,"southAfrica"
"20-35",-19,-2,-8,-6,-5,5,-3,"Female","South Africa",-3,"southAfrica"
NA,1,-2,2,2,-1,-2,2,"Female","South Africa",0,"southAfrica"
"<20",3,-1,-1,-1,-2,7,1,"Female","South Africa",-3,"southAfrica"
"50+",-4,5,-9,4,-1,-4,1,"Female","South Africa",-2,"southAfrica"
"<20",4,-3,-1,3,-1,5,1,"Female","South Africa",0,"southAfrica"
"20-35",10,3,0,0,1,3,3,"Female","South Africa",-1,"southAfrica"
"20-35",-9,-3,-4,-3,5,-2,-2,"Female","South Africa",4,"southAfrica"
"<20",10,0,5,3,0,-1,3,"Female","South Africa",1,"southAfrica"
"35-50",-4,-1,-4,0,5,-2,-2,"Male","South Africa",2,"southAfrica"
"35-50",4,-3,-3,5,-2,2,5,"Male","United States",-1,"northAmerica"
NA,-20,-6,-4,-2,-1,-1,-6,"Female","South Africa",3,"southAfrica"
NA,36,6,4,10,4,6,6,"Female","South Africa",1,"southAfrica"
"20-35",-20,-1,-5,-3,-6,-3,-2,"Female","South Africa",-4,"southAfrica"
NA,2,-1,1,5,2,-3,-2,"Female","South Africa",1,"southAfrica"
"35-50",-1,1,-6,3,0,2,-1,"Female","South Africa",-2,"southAfrica"
"35-50",-1,1,-6,4,3,1,-4,"Female","South Africa",5,"southAfrica"
"35-50",-37,-5,-5,-5,-9,-7,-6,"Female","South Africa",-5,"southAfrica"
"35-50",-15,-3,-5,-4,-1,0,-2,"Female","South Africa",0,"southAfrica"
"<20",-22,-5,-2,-7,-3,-3,-2,"Female","South Africa",-1,"southAfrica"
"20-35",1,-3,-2,2,4,-2,2,"notSay","South Africa",2,"southAfrica"
"<20",-21,-2,-6,-1,-1,-3,-8,"Female","South Africa",1,"southAfrica"
"35-50",-23,-3,-8,-3,-4,-4,-1,"Female","South Africa",-4,"southAfrica"
"<20",9,-3,-1,4,3,2,4,"Female","South Africa",1,"southAfrica"
"<20",-22,-2,-7,-5,-2,-4,-2,"Male","South Africa",0,"southAfrica"
"<20",0,0,-1,3,-1,0,-1,"Male","South Africa",-1,"southAfrica"
"<20",14,1,2,2,3,5,1,"Male","South Africa",3,"southAfrica"
NA,-11,0,-9,-1,-2,0,1,"Female","South Africa",-3,"southAfrica"
"20-35",5,1,-1,2,1,1,1,"Female","South Africa",1,"southAfrica"
"<20",20,0,7,5,2,3,3,"Female","South Africa",2,"southAfrica"
"20-35",-4,-1,0,0,-3,-2,2,"Male","South Africa",0,"southAfrica"
"50+",14,4,0,8,3,0,-1,"Female","Canada",1,"northAmerica"
"35-50",19,1,4,7,4,-2,5,"Female","South Africa",1,"southAfrica"
"20-35",-4,-2,-2,-3,-2,4,1,"Female","South Africa",3,"southAfrica"
"<20",-14,-4,-4,-7,4,1,-4,"Female","South Africa",5,"southAfrica"
"<20",-26,-4,-4,-7,-3,-3,-5,"Female","South Africa",1,"southAfrica"
"20-35",-1,0,1,0,-1,0,-1,"Male","South Africa",-1,"southAfrica"
"20-35",-3,-2,0,-4,1,3,-1,"Female","South Africa",1,"southAfrica"
NA,7,0,1,3,0,3,0,"Male","South Africa",3,"southAfrica"
"<20",-14,-5,-5,-4,-1,2,-1,"Female","South Africa",-1,"southAfrica"
"50+",-9,-2,0,0,0,-7,0,"Female","South Africa",-1,"southAfrica"
"20-35",-16,-2,-7,-5,1,0,-3,"Female","South Africa",-1,"southAfrica"
"50+",-16,-4,-6,0,0,0,-6,"Female","Canada",-1,"northAmerica"
"20-35",-20,2,-9,-6,2,-7,-2,"Male","South Africa",3,"southAfrica"
"20-35",-15,0,-7,-4,2,-4,-2,"Female","Australia",0,"AustrNZ"
"50+",-21,-2,-5,-4,-3,-3,-4,"Female","South Africa",1,"southAfrica"
NA,6,3,5,-1,0,0,-1,"Female","South Africa",3,"southAfrica"
"<20",-6,-4,0,-2,2,3,-5,"Male","South Africa",2,"southAfrica"
"<20",14,2,3,3,0,1,5,"Female","South Africa",0,"southAfrica"
"35-50",-23,-3,-4,-4,-3,-5,-4,"Female","South Africa",-4,"southAfrica"
NA,-26,-5,-5,-8,0,-1,-7,"Other","South Africa",1,"southAfrica"
"20-35",-15,-6,-5,-7,0,2,1,"Female","South Africa",-2,"southAfrica"
"35-50",-20,-2,-9,-3,-4,-1,-1,"Female","South Africa",-1,"southAfrica"
"35-50",-34,-2,-6,-7,-9,-5,-5,"Female","South Africa",-4,"southAfrica"
"35-50",-18,-4,-1,-4,-6,-3,0,"Female","South Africa",-3,"southAfrica"
"20-35",-1,-4,-2,4,0,1,0,"Female","South Africa",-1,"southAfrica"
NA,-14,-1,-4,-1,2,-5,-5,"Female","United States",2,"northAmerica"
"35-50",-16,-3,-3,-5,-3,0,-2,"Female","South Africa",-3,"southAfrica"
"20-35",8,-1,7,-2,3,-4,5,"Female","South Africa",2,"southAfrica"
NA,-9,-3,0,-3,-2,-6,5,"Female","South Africa",-3,"southAfrica"
"35-50",17,3,-1,4,5,1,5,"Female","Australia",3,"AustrNZ"
"20-35",-23,-3,-6,-6,0,-3,-5,"Male","South Africa",-1,"southAfrica"
"35-50",-10,-2,0,-8,4,-2,-2,"Female","South Africa",2,"southAfrica"
"<20",-1,-2,-3,3,3,-2,0,"Male","South Africa",1,"southAfrica"
"20-35",-26,-7,-5,0,-2,-7,-5,"Female","South Africa",-3,"southAfrica"
"<20",-11,0,-6,0,-5,-2,2,"Female","South Africa",-4,"southAfrica"
"20-35",-2,-2,-5,-3,7,-1,2,"Female","South Africa",6,"southAfrica"
"35-50",4,2,4,2,-5,1,0,"Male","South Africa",-1,"southAfrica"
"35-50",0,-3,-8,7,3,2,-1,"Female","South Africa",3,"southAfrica"
"<20",-36,-7,-7,-6,-4,-5,-7,"Female","South Africa",-1,"southAfrica"
"20-35",2,-2,-2,2,4,2,-2,"Female","South Africa",3,"southAfrica"
"35-50",9,3,-1,4,-3,1,5,"Female","South Africa",-3,"southAfrica"
"20-35",-29,-3,-7,-6,-4,-1,-8,"Female","South Africa",-3,"southAfrica"
"35-50",-13,-3,-2,-2,-1,-3,-2,"Female","South Africa",-2,"southAfrica"
"<20",17,0,6,3,2,2,4,"Male","South Africa",0,"southAfrica"
"20-35",-19,-2,0,-5,-6,-3,-3,"Female","South Africa",-3,"southAfrica"
"35-50",-14,-2,-9,2,0,-3,-2,"Female","South Africa",0,"southAfrica"
"20-35",-11,-1,-5,-2,0,3,-6,"Male","South Africa",-1,"southAfrica"
"35-50",-7,0,-1,1,2,-5,-4,"Female","United States",1,"northAmerica"
"35-50",-19,-4,-7,1,0,-2,-7,"Male","South Africa",0,"southAfrica"
NA,12,2,5,2,3,2,-2,"Female","South Africa",2,"southAfrica"
"35-50",-7,0,-8,-3,1,2,1,"Female","South Africa",-1,"southAfrica"
"20-35",1,-1,-5,1,7,-1,0,"Female","South Africa",5,"southAfrica"
"20-35",-20,-3,-6,-5,-2,0,-4,"Female","South Africa",-3,"southAfrica"
"20-35",-31,-7,-8,-3,-6,-4,-3,"notSay","South Africa",-3,"southAfrica"
"50+",-12,2,-4,-2,0,-5,-3,"Male","United Kingdom",0,"UKireland"
"50+",-15,-2,-6,0,0,-4,-3,"Female","South Africa",0,"southAfrica"
NA,4,0,1,1,1,-3,4,"Female","South Africa",0,"southAfrica"
"20-35",-3,-3,0,-4,-2,5,1,"Female","South Africa",-1,"southAfrica"
"20-35",-7,0,1,-5,-3,1,-1,"Female","South Africa",1,"southAfrica"
"20-35",-23,-4,-8,-3,-2,-2,-4,"Female","South Africa",-2,"southAfrica"
"35-50",-24,-6,-6,-4,-6,1,-3,"Female","South Africa",-4,"southAfrica"
"20-35",-22,-4,-4,-6,-2,0,-6,"Female","South Africa",0,"southAfrica"
"<20",-1,-4,-4,1,0,4,2,"Male","South Africa",1,"southAfrica"
"35-50",-5,-6,-5,2,1,0,3,"Male","New Zealand",0,"AustrNZ"
"35-50",-4,2,-5,0,-1,0,0,"Female","South Africa",-2,"southAfrica"
"20-35",7,2,1,4,-1,3,-2,"Female","South Africa",-2,"southAfrica"
NA,-4,0,-5,-2,2,4,-3,"Female","South Africa",3,"southAfrica"
NA,0,-2,-2,2,-3,4,1,"notSay","South Africa",-2,"southAfrica"
"20-35",-4,-1,-1,-4,-1,2,1,"Male","South Africa",1,"southAfrica"
"50+",3,-2,0,6,-2,0,1,"Male","South Africa",-2,"southAfrica"
"35-50",-16,-3,-6,-2,-1,-2,-2,"Female","South Africa",-1,"southAfrica"
"20-35",-20,0,-7,-5,-4,-2,-2,"Male","South Africa",-2,"southAfrica"
"35-50",-1,2,0,4,-2,-4,-1,"Female","South Africa",-1,"southAfrica"
"20-35",-35,-7,-8,-5,-10,-1,-4,"Female","South Africa",-5,"southAfrica"
"20-35",-2,-1,0,0,0,3,-4,"Male","South Africa",-1,"southAfrica"
"20-35",-9,-1,-2,0,-3,0,-3,"Female","South Africa",-2,"southAfrica"
"20-35",0,1,-2,2,2,0,-3,"Female","United Kingdom",0,"UKireland"
"20-35",-15,1,-2,-7,-4,3,-6,"Female","South Africa",-1,"southAfrica"
"20-35",-22,0,-5,-5,-1,-7,-4,"Female","South Africa",1,"southAfrica"
"35-50",28,3,6,9,6,4,0,"Female","South Africa",4,"southAfrica"
"35-50",-26,-4,-6,-3,-4,-7,-2,"Female","New Zealand",-4,"AustrNZ"
